"sex","age","statebrn","placebrn","marstat","edyrs","occ","usyrl","usdurl","usdocl","usstatel","usplacel","usmarl","usoccl","uswagel","usbyl","ustrips","reltrip","paistrip","sport","social","chicanos","blacks","asians","anglos","latinos","lodging","english","enghome","engwork","engfrnd","engneig","finhelp","bankacct","card","taxes","consular","rent","food","remit","remit1","remit2","remit3","remit4","remit5","savings","savings1","savings2","savings3","savings4","savings5","schools","unemp","foodst","welfare","afdc","wic","ssi","general","doctor","hospital","hlthpmt1","hlthpmt2","hlthpmt3","hlthpmt4","class"
1,45,11,0,2,0,529,1977,12,NA,105,7320,NA,529,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,54,11,0,2,0,410,1954,3,8,105,NA,NA,410,0.37,1,2,2,1,2,2,2,2,NA,2,1,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,0,0,0,8888,8888,8888,8888,8888,0,11,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,44,11,0,2,4,549,1962,2,2,105,8735,NA,410,1,1,1,2,1,2,2,1,2,NA,2,2,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,49,11,NA,2,3,522,1973,6,8,114,1600,NA,810,3,1,2,1,1,2,2,2,2,NA,2,1,4,0,NA,NA,NA,NA,4,2,NA,NA,NA,0,0,200,11,8888,8888,8888,8888,200,11,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,59,11,0,2,3,522,1966,12,8,105,4480,NA,410,NA,NA,2,2,1,2,2,2,2,NA,1,1,3,0,NA,NA,NA,NA,3,2,NA,NA,NA,0,NA,20,11,8888,8888,8888,8888,NA,3,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,23,11,0,2,9,410,1988,2,8,105,NA,NA,410,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,37,11,0,1,6,410,1984,48,8,114,1600,NA,549,6,1,2,2,2,2,1,1,1,NA,1,1,3,3,NA,NA,NA,NA,3,1,NA,NA,NA,300,400,400,2,8888,8888,8888,8888,100,2,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,1
1,41,11,0,2,6,522,1986,6,5,199,NA,NA,549,2.5,1,3,1,1,2,2,2,2,NA,1,1,2,3,NA,NA,NA,NA,3,2,NA,NA,NA,20,0,0,8888,8888,8888,8888,8888,100,5,8888,8888,8888,8888,2,2,2,1,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,31,11,0,2,6,142,1978,12,8,105,4480,NA,549,NA,NA,1,2,1,2,2,1,1,NA,1,1,1,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,20,30,11,8888,8888,8888,8888,NA,11,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,32,11,0,2,3,522,1987,12,8,105,NA,NA,410,NA,NA,2,2,1,2,2,2,2,NA,2,1,3,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,8888,8888,8888,8888,NA,2,3,11,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,1
1,30,11,0,2,6,720,1981,24,8,114,1600,NA,719,NA,NA,2,2,1,2,1,2,2,NA,2,2,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,0,0,200,2,3,11,8888,8888,200,2,3,11,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
